user,rating,date,review
Nessa,"5,0",21 avril 2019,"La notice est écrite en langues étrangères pas de français. je n'ai pas encore utiliser le téléphone mais déjà le clavier apparaît et disparaît lorsque je veux écrire donc impossible, je ne comprend pas car je n'ai changer aucun paramètres
De plus. Mon colis est arrivé ouvert (je l'ai vu qu'une fois revenu à l'intérieur) et un des côtés de la bandes de sûreté du téléphone était ouvert également"
Marion,"1,0",27 mai 2019,J'ai acheter ce téléphone j'ai du le renvoyée il ne voulais pas s'allumer franchement j'ai étais vraiment deçus
Vasse,"5,0",25 mai 2019,"depuis 2 jours pas de PBs j'éspère que trump va changer d'avis pour huawei car les applis google et autre ne seront plus mise a jour , a suivre"
Ruin Isabelle,"5,0",22 mai 2019,"Portable acheté en remplacement d'un iPhone se. Bonne résolution d'écran, très belles photos. Je ne regrette pas mon achat"
caroline,"5,0",22 mai 2019,Vraiment très très bon téléphone. De loin Huawei est devenu très bon. Bravo pour ce super smartphone 😁
Amandine,"5,0",9 janvier 2019,"Très beau téléphone, presque trop grand pour moi. Fluide, simple d'utilisation. Attention le chargeur est différent des chargeurs ""universel"" , il est identique aux chargeurs des derniers Samsung Galaxie."
John Peter,"5,0",18 mars 2019,"Résolution d'image parfaite, très bonne qualité photos, rapide et performant, livré avec verre protecteur. Je suis très satisfait de mon achat."
Saliha,"1,0",20 mars 2019,J ai reçu un réveil au lieu du tel
Michel,"5,0",29 novembre 2018,"Conforme, rien à redire, mate 20 lite reçu rapidement."
Client d'Amazon,"5,0",19 février 2019,"Assez surprise par le téléphone, qui pour la nouvelle génération égale les autres marques.
Nouvelle acquisition donc pas de retour négatif à ce jour.
Bonne taille, poids correct et photos clean."
Caroline,"5,0",8 mai 2019,"Super téléphone qui correspond parfaitement à mes besoins. C'est un excellent rapport qualité/prix face à ses concurrents. Il est facile d'utilisation, il a une grande autonomie et capacité de stockage. Livraison le jour annoncé par Amazon, même si j'ai eu quelques craintes. Un grand merci."
K-Moon,"4,0",14 mai 2019,"Première fois que je prends un Huawei.
Franchement, pas mal, même s'il y a quelques problèmes avec les notifications (problèmes connus visiblement), et avec le bluetooth de ma voiture.
Le reste, rien à signaler."
BERTHELON CHRISTINE BRIDGIT,"5,0",5 janvier 2019,Content il est bien on peut installer plein d'applications extra sa me change et facile à manipuler
Morgane,"5,0",12 mai 2019,"Produit reçu hier, super contente de mon achat les photos sont top, la qualité de l'écran top, Netflix est un plaisir pour les yeux. Il es Grand, facile à une main pour ma part. Facile d'utilisation. Je ne regrette rien j'étais Samsung et iPhone je ne trouvais pas mon bonheur. Mais la je vous le conseil les yeux fermé"
houcine seba,"5,0",24 janvier 2019,Excellent produit. Appareil photo de haute qualité. Je suis très heureux d'avoir ce téléphone. Grande autonomie pour la batterie. Magnifique.
Client d'Amazon,"5,0",21 mars 2019,"Très bon mobile, qualité des photos super."
julimi,"5,0",29 avril 2019,"Ravie de ce téléphone, aux fonctionnalités performantes. La qualité de l'objectif frontal est bluffante ! Très rapide et réactif, bonne prise en main (j'avais déjà un Huawei précédemment). Mes données ont été transférées dans soucis depuis mon ancien téléphone"
