user,rating,date,review
MARION,"4,0",25 août 2018,"C’est un iPhone ! Pas de beug avec les MAJ (pour l’instant)
Seul bémol leur coque arrière tout en verre quelle  galère !! On voit tout dessus et surtout niveau rayure ça va vite ! Malgré une coque de protection"
Client d'Amazon,"4,0",22 février 2019,"Pas chère, semble vraiment neuf"
GAILLARD,"5,0",31 août 2018,"Super
Livré très très rapidement
Produit conforme
Vendeur très sérieux"
El baz,"5,0",9 août 2018,iPhone 8 Plus neuf débloqué je à la date prévu en 2 jours super cadeau que j’ai fait à mon fils
Kabamusu violette,"5,0",25 janvier 2019,Merci
Meur Guillaume,"1,0",8 août 2018,"UNE VRAIE CATASTROPHE !!!
Tout pouvait sembler bien se passer. J ai bien reçu le téléphone et tout allait bien jusqu a ce que j essaie d utiliser la caméra qui ne marchait pas. Amazon m a demandé de le renvoyé en utilisant leur système de renvoie.
Cela fait plus d un mois qu Amazon a reçu le téléphone dans ses entrepôts et depuis si le service client ne me raccroche pas au nez, on me demande de justifier l envoi, que le colis n était pas vide , maintenant que le téléphone n a pas été remplacé par un autre. En bref on me traite de voleur et menteur sans explication. Je suis un bon client Amazon habituellement mais là je vais tout arrêter."
Client d'Amazon,"5,0",21 mai 2019,"il est juste pratique pas grand il fonctionne bien rapide
jadore la couleur et la meme fonctionnalité que mon ancien i phone 6S"
Véronique Solana,"5,0",30 octobre 2018,CONFORME A LA COMMANDE
Nicolas Desbois,"5,0",22 janvier 2019,1 an avec le portable et celui-ci fonctionne parfaitement. Les photos sont magnifiques ainsi que le design et l'interface de celui-ci.
Oazzo,"5,0",27 août 2018,"Prix très compétitif, livraison rapide, appareil neuf, je suis très content d'avoir commandé ce téléphone."
Áce2018,"5,0",17 novembre 2018,"indétrônable apple !the best
j'ai aussi le note 9 que je regrette"
DEVRED,"4,0",5 mars 2019,Cher
henne,"5,0",26 mars 2019,smartphone apple plutôt dans le haut de gamme et largement suffisant pour profiter de toutes les applications de l'apple store et d'autres indispensables comme spotify snap
Client d'Amazon,"5,0",9 décembre 2018,Produit parfait neuf
TISSOT,"3,0",8 décembre 2018,"iPhone neuf, mais à certain bug, appli qui ce ferme toutes seules (c’est très rares) et surprit sur SNAPCHAT ou parfois le son vidéo ne s’enregistre pas ou crée d’autre bruits gênants à la place !"
zab,"5,0",17 mai 2018,Délai de commande respecté. Très bonne explication sur le site. Qualité et attente identique à ma demande.Prix correct.Tout à fait satisfait de ma commande.
Client d'Amazon,"5,0",29 août 2018,Parfait!  Aucun bug magbfiique qualité photo (comparaison avec le XR) pour moi le meilleur iPhone conçu
P026501,"5,0",30 décembre 2018,"Très bon produit, conforme aux attentes.
Retard à la livraison dû vraisemblablement au transporteur. Problème corrigé par l’expediteur."
PEREZ,"4,0",10 août 2018,Super Iphone conforme à mes attentes mais un seul bémol: je n'arrive pas à avoir une facture de cet achat.
legris,"5,0",7 novembre 2018,Bien mais trop cher
Leyzour ulysse,"4,0",4 septembre 2018,"Super ! Seul défaut, l’écran qui s’abîme trop vite pour un téléphone à ce prix, et le fait de ne pas pouvoir brancher d’écouteurs sans le petit adaptateur.
J’ai eu le 3Gs, le 4S le 6 et le 8. Je préfère largement les iPhones, chacun ses goûts."
fadime,"5,0",26 août 2018,Livraison très rapide et fonction très bien je recommande
Client d'Amazon,"5,0",2 décembre 2018,Si vous voulez un iPhone à prix réduit je vous conseille ce site. iPhone 8 256 Go à moitié prix et juste quelques micro rayures. Reçu le lendemain de la commande ! Ravi.
Fred,"5,0",7 mars 2019,Il est génial 👍 je l’adore il est  Fonctionnel beau vraiment top
Tounsi,"5,0",30 janvier 2019,"Super IPhone 8 Plus j’ai eu un doute suite au commentaire négative et suite également à une arnaque que j’ai eu, mais cela fait déjà 2 semaine que je l’est et je l’adore donc je recommande de produis et livraison en une journée donc super"
@rno,"5,0",3 janvier 2019,Produit neuf conforme à ce qui était mentionné.
Charles Henri Brenneisen,"1,0",3 avril 2019,"iPhone top, mais il est mort au bout de 1 an jour pour jour ...
dommage"
glacet nicole,"5,0",21 octobre 2018,Très bon produit
Laureen,"5,0",4 décembre 2018,Je suis entièrement satisfaite de ce produit Il est arrivé super vite bien emballé On dirait un neuf alors qu’il est reconditioné Aucune rayures Juste magnifique Je recommande vivement
Alexandra,"1,0",5 février 2019,Produit reçus nickel mais tres mécontente car l'iPhone ne marche pas impossible de l'allumer .. Arnaque !!
Julia smn,"5,0",29 août 2018,"J’ai acheté ce produit depuis 4 jours ! J’en suis très satisfaite. Une ouverture d’usine, téléphone sous blister. Tout était bien neuf
Livraison très rapide
Je suis très contente de mon achat et je le recommande vraiment !"
Client d'Amazon,"5,0",23 août 2018,"Rien à dire, juste la batterie mais bon, c’est iPhone donc nous sommes habitué"
Christian2r,"5,0",17 novembre 2018,Tout a été déjà dit sur ce smartphone.
